\popi{x}{mm};\popi{H}{A.m^{-1}};\popi{x}{mm};\popi{H}{A.m^{-1}};;
10;3400;140;220;5290;160
20;3920;140;230;5290;160
30;4310;150;240;5290;160
40;4590;150;250;5290;160
50;4770;150;260;5270;160
60;4920;160;270;5260;160
70;5010;160;280;5240;160
80;5070;160;290;5230;160
90;5140;160;300;5180;160
100;5170;160;310;5170;160
110;5220;160;320;5080;160
120;5240;160;330;5030;160
130;5260;160;340;4950;160
140;5290;160;350;4850;160
150;5290;160;360;4680;150
160;5300;160;370;4420;150
170;5310;160;380;4120;150
180;5310;160;390;3630;140
190;5310;160;400;3050;130
200;5310;160;405;2770;130
210;5310;160;;;
