kondenzátor;\popi{U}{V};;\popi{I}{mA};;kondenzátor;\popi{U}{V};;\popi{I}{mA};
A;1,027;0,01;0,185;0,002;D;1,01;0,01;0,72;0,06
;1,517;0,02;0,274;0,003;;1,50;0,02;1,08;0,07
;2,024;0,02;0,367;0,004;;2,00;0,02;1,44;0,07
;2,544;0,03;0,46;0,01;;2,51;0,03;1,82;0,08
;3,041;0,03;0,55;0,01;;3,04;0,03;2,20;0,08
;3,542;0,04;0,64;0,01;;3,55;0,04;2,58;0,09
;4,035;0,04;0,72;0,01;;4,01;0,04;2,92;0,09
;4,568;0,05;0,82;0,01;;4,59;0,05;3,3;0,1
;5,046;0,05;0,91;0,01;;5,02;0,05;3,7;0,1
;5,517;0,06;0,99;0,01;;5,53;0,06;4,0;0,1
B;1,025;0,01;0,189;0,002;E;1,07;0,01;0,82;0,06
;1,521;0,02;0,280;0,003;;1,52;0,02;1,18;0,07
;2,05;0,02;0,378;0,004;;2,01;0,02;1,58;0,07
;2,512;0,03;0,46;0,01;;2,53;0,03;1,98;0,08
;3,023;0,03;0,56;0,01;;3,02;0,03;2,38;0,09
;3,573;0,04;0,66;0,01;;3,50;0,04;2,76;0,09
;4,028;0,04;0,74;0,01;;4,00;0,04;3,2;0,1
;4,516;0,05;0,83;0,01;;4,54;0,05;3,6;0,1
;4,996;0,05;0,92;0,01;;5,06;0,05;4,0;0,1
;5,523;0,06;1,02;0,02;;5,23;0,06;4,4;0,1
C;0,998;0,01;0,36;0,06;F;1,01;0,01;0,88;0,06
;1,505;0,02;0,56;0,06;;2,06;0,02;1,80;0,08
;2,054;0,02;0,76;0,06;;1,50;0,02;1,30;0,07
;2,573;0,03;0,96;0,06;;2,53;0,03;2,20;0,08
;3,073;0,03;1,14;0,07;;3,04;0,03;2,66;0,09
;3,519;0,04;1,32;0,07;;3,52;0,04;3,1;0,1
;4,053;0,04;1,52;0,07;;4,01;0,04;3,5;0,1
;4,535;0,05;1,70;0,08;;4,55;0,05;4,0;0,1
;5,013;0,05;1,88;0,08;;5,02;0,05;4,4;0,1
ABCEDF;0,503;0,005;1,92;0,08;;5,51;0,06;4,8;0,1
;1,00;0,01;3,9;0,1;BD;1,03;0,01;0,84;0,01
;1,50;0,02;5,8;0,1;;1,54;0,02;1,26;0,02
;2,03;0,02;7,9;0,2;;2,04;0,02;1,68;0,02
;2,50;0,03;9,7;0,2;;2,49;0,03;2,06;0,03
;3,02;0,03;11,7;0,2;;3,07;0,03;2,53;0,03
;3,51;0,04;13,7;0,3;;3,56;0,04;2,94;0,03
;4,03;0,04;15,7;0,3;;4,04;0,04;3,34;0,04
;4,57;0,05;17,8;0,3;;4,56;0,05;3,77;0,04
;5,05;0,05;19,7;0,3;;4,97;0,05;4,6;0,1
;5,58;0,06;21,7;0,4;;5,56;0,06;5,1;0,1
