materiál;wolfram;mìï;kanthal;železo;mosaz;chromnikl
\popi{d_1}{mm};0,675;1,320;0,490;0,400;0,580;0,990
\popi{d_2}{mm};0,675;1,330;0,485;0,400;0,580;0,985
\popi{d_3}{mm};0,670;1,330;0,485;0,400;0,580;0,990
\popi{d_4}{mm};0,670;1,325;0,490;0,425;0,585;0,980
\popi{d_5}{mm};0,670;1,330;0,490;0,400;0,585;0,990
\popi{d}{mm};0,672;1,327;0,488;0,405;0,582;0,987
\popi{\sigma_A(d)}{mm};0,001;0,002;0,001;0,006;0,001;0,002
\popi{\sigma(d)}{mm};0,005;0,005;0,005;0,007;0,005;0,005
\popi{l}{cm};59,9;59,9;59,9;59,9;59,9;59,9
\popi{\sigma(l)}{cm};0,1;0,1;0,1;0,1;0,1;0,1
\popi{S}{mm^2};0,355;1,383;0,187;0,13;0,266;0,765
\popi{\sigma(S)}{mm^2};0,007;0,008;0,007;0,01;0,007;0,008
