\popi{I}{mA};\popi{rozsah}{mA};\popi{\sigma(I)}{mA};\popi{R}{\ohm};\popi{\sigma(R)}{\ohm};\popi{P}{W};\popi{\sigma(P)}{W}
0,300;1,5;0,008;41;1;3,7;0,2
0,450;1,5;0,008;42;1;8,5;0,4
0,690;1,5;0,008;42;1;20,0;0,7
0,890;1,5;0,008;42;1;33;1
1,220;1,5;0,008;41,7;0,5;62;1
1,96;3,0;0,02;42;1;161;5
2,26;3,0;0,02;42;1;215;6
4,60;7,5;0,04;44,5;0,2;940;20
5,20;7,5;0,04;45,4;0,1;1 230;20
6,00;7,5;0,04;46,6;0,1;1 680;20
9,50;15;0,08;60,0;0,1;5 420;90
10,50;15;0,08;68,5;0,1;7 600;100
12,20;15;0,08;96,8;0,1;14 400;200
17,2;30;0,2;193,5;0,2;57 000;1 000
22,6;30;0,2;252;1;129 000;2 000
24,8;30;0,2;273;1;168 000;2 000
31,0;75;0,4;330;2;317 000;8 000
40,0;75;0,4;397;2;640 000;10 000
