\popi{I}{mA};\popi{rozsah}{mA};\popi{\sigma(I)}{mA};\popi{U}{V};\popi{rozsah}{V};\popi{\sigma(U)}{V};\popi{R}{\ohm};\popi{\sigma(R)}{\ohm};\popi{R\_{kor}}{\ohm};\popi{\sigma(R\_{kor})}{\ohm}
0,280;1,5;0,008;0,010;1,5;0,008;40;30;40;30
0,400;1,5;0,008;0,020;1,5;0,008;50;20;50;20
0,680;1,5;0,008;0,030;1,5;0,008;40;10;50;10
0,875;1,5;0,008;0,035;1,5;0,008;40;9;40;10
1,360;1,5;0,008;0,055;1,5;0,008;40;6;43;7
1,500;1,5;0,008;0,060;1,5;0,008;40;5;42;6
1,78;3;0,02;0,070;1,5;0,008;39;5;41;5
2,22;3;0,02;0,090;1,5;0,008;41;4;43;4
2,50;3;0,02;0,100;1,5;0,008;40;3;42;4
4,95;7,5;0,04;0,210;1,5;0,008;42;2;45;2
5,50;7,5;0,04;0,235;1,5;0,008;43;1;45;2
6,70;7,5;0,04;0,300;1,5;0,008;45;1;48;1
7,50;15;0,08;0,350;1,5;0,008;47;1;50;1
9,50;15;0,08;0,500;1,5;0,008;53;1;57;1
12,10;15;0,08;0,800;1,5;0,008;66;1;72;1
13,70;15;0,08;1,140;1,5;0,008;83;1;94;1
18,6;30;0,2;3,48;7,5;0,04;187;3;197;3
22,4;30;0,2;5,70;7,5;0,04;254;3;273;3
25,8;30;0,2;7,10;15;0,08;275;4;286;4
29,5;75;0,4;8,75;15;0,08;297;5;309;5
36,5;75;0,4;12,40;15;0,08;340;4;356;5
41,3;75;0,4;16,0;30;0,2;388;5;398;6
