\popi{R_t}{\ohm};\popi{\sigma(R_t)}{\ohm};\popi{t}{\C};\popi{T}{K};\popi{\sigma(T)}{K};\popi{R}{k\ohm};\popi{\sigma(R)}{k\ohm}
96,40;0,24;-9,35;263,80;0,63;1,868;0,006
96,75;0,24;-8,44;264,71;0,63;1,803;0,006
97,19;0,24;-7,30;265,85;0,63;1,728;0,006
98,38;0,25;-4,21;268,94;0,64;1,538;0,005
99,30;0,25;-1,82;271,33;0,65;1,408;0,005
100,14;0,25;0,36;273,51;0,65;1,299;0,005
100,77;0,25;2,00;275,15;0,65;1,227;0,005
101,30;0,25;3,38;276,53;0,66;1,167;0,005
102,14;0,25;5,56;278,71;0,66;1,080;0,005
102,97;0,26;7,71;280,86;0,66;0,999;0,004
104,09;0,26;10,62;283,77;0,67;0,902;0,004
104,94;0,26;12,83;285,98;0,68;0,836;0,004
105,79;0,26;15,04;288,19;0,68;0,776;0,004
106,54;0,26;16,99;290,14;0,68;0,727;0,004
106,86;0,26;17,82;290,97;0,68;0,706;0,004
107,32;0,26;19,01;292,16;0,69;0,680;0,004
108,14;0,27;21,14;294,29;0,69;0,635;0,004
109,39;0,27;24,39;297,54;0,70;0,571;0,004
110,12;0,27;26,29;299,44;0,70;0,538;0,004
110,56;0,27;27,43;300,58;0,70;0,519;0,004
110,97;0,27;28,49;301,64;0,71;0,502;0,004
112,07;0,27;31,35;304,50;0,71;0,460;0,004
112,81;0,28;33,27;306,42;0,72;0,434;0,004
113,54;0,28;35,17;308,32;0,72;0,410;0,004
114,16;0,28;36,78;309,93;0,72;0,391;0,004
115,50;0,28;40,26;313,41;0,73;0,352;0,004
115,98;0,28;41,51;314,66;0,73;0,340;0,004
116,72;0,28;43,43;316,58;0,74;0,322;0,003
117,39;0,28;45,17;318,32;0,74;0,307;0,003
117,89;0,29;46,47;319,62;0,74;0,296;0,003
118,48;0,29;48,00;321,15;0,75;0,283;0,003
119,03;0,29;49,43;322,58;0,75;0,272;0,003
120,03;0,29;52,03;325,18;0,75;0,253;0,003
120,39;0,29;52,96;326,11;0,76;0,245;0,003
121,73;0,29;56,44;329,59;0,76;0,220;0,003
123,17;0,30;60,18;333,33;0,77;0,199;0,003
125,65;0,30;66,62;339,77;0,78;0,170;0,003
128,10;0,31;72,99;346,14;0,80;0,146;0,003
128,95;0,31;75,19;348,34;0,80;0,139;0,003
129,73;0,31;77,22;350,37;0,80;0,133;0,003
131,28;0,31;81,25;354,40;0,81;0,128;0,003
