mìøení;\popi{10 T\_v}{s};\popi{10 T_x}{s};\popi{10 T_y}{s};\popi{10 T_z}{s};\popi{10 T\_{uhl}}{s}
1;211,48;202,85;111,14;225,72;135,55
2;211,09;203,03;110,89;225,89;135,86
3;211,18;202,83;110,84;225,68;135,53
4;211,36;203,16;111,34;226,09;135,09
5;211,37;202,75;111,34;226,01;135,34
prùmìr;211,30;202,92;111,11;225,88;135,47
$\sigma_A$;0,07;0,07;0,11;0,08;0,13
$\sigma_B$;0,3;0,3;0,3;0,3;0,3
$\sigma_{10T}$;0,3;0,3;0,3;0,3;0,3
$T$;21,13;20,29;11,11;22,59;13,55
$\sigma_T$;0,03;0,03;0,03;0,03;0,03
