\popi{h}{cm};\popi{\sigma(h)}{cm};\popi{V}{ml};\popi{\sigma(V)}{ml};\popi{t}{s};\popi{\sigma(t)}{s};\popi{\Delta p}{Pa};\popi{\sigma(\Delta p)}{Pa};\popi{Q_v}{10^{-6} m^3.s^{-1}};\popi{\sigma(Q_v)}{10^{-6} m^3.s^{-1}}
1,3;0,1;11,0;0,5;10,2;0,2;127;10;1,08;0,05
2,2;0,1;36,0;0,5;10,0;0,2;215;10;3,60;0,09
3,5;0,1;54,0;1,0;10,2;0,2;343;10;5,29;0,14
4,2;0,1;60,0;1,0;10,3;0,2;411;10;5,83;0,15
4,9;0,1;68,0;1,0;10,3;0,2;480;10;6,60;0,16
6,2;0,6;72,0;1,0;10,2;0,2;607;59;7,06;0,17
8,5;0,9;76,0;1,0;10,5;0,2;832;88;7,24;0,17
10,5;0,5;80,0;1,0;10,3;0,2;1 028;49;7,77;0,18
12,4;0,1;88,0;1,0;10,3;0,2;1 214;10;8,54;0,19
14,4;0,1;92,0;1,0;10,1;0,2;1 409;10;9,11;0,21
16,5;0,1;10,0;0,5;10,3;0,2;1 615;10;0,97;0,05
18,7;0,1;10,0;0,5;10,3;0,2;1 830;10;0,97;0,05
20,6;0,1;11,0;0,5;10,2;0,2;2 016;10;1,08;0,05
22,1;0,1;11,0;0,5;10,4;0,2;2 163;10;1,06;0,05
23,4;0,1;12,0;0,5;10,2;0,2;2 290;10;1,18;0,05
