\popi{l}{m};0,1;0,2;0,3;0,4;0,5;0,6;0,7;0,8;0,9;1;1,1;1,2;1,3;1,4;1,5;1,6;1,7;1,8
\popi{\sigma l}{m};19,05;17,82;21,96;25,28;14,09;15,45;16,66;17,86;19,03;19,96;20,95;21,85;22,70;23,60;24,28;25,20;25,98;26,74
\popi{10T_1}{s};19,13;17,91;21,84;25,21;14,17;15,53;16,60;17,93;19,00;19,90;20,84;21,72;22,71;23,59;24,37;25,17;25,99;26,94
\popi{10T_2}{s};19,06;17,92;21,85;25,32;14,02;15,45;16,75;17,78;18,96;19,97;20,97;21,69;22,70;23,62;24,44;25,07;26,00;26,67
\popi{10T_3}{s};19,05;17,92;21,99;25,23;14,06;15,44;16,64;17,81;18,93;19,96;20,82;21,70;22,79;23,54;24,44;25,12;25,95;26,66
\popi{10T_4}{s};19,08;17,93;22,02;25,37;14,11;15,61;16,68;17,88;18,95;20,01;20,89;21,65;22,65;23,45;24,31;25,26;25,84;26,52
\popi{10T_5}{s};19,15;18,00;21,96;25,22;14,05;15,39;16,74;17,94;19,01;19,85;20,97;21,74;22,87;23,52;24,29;25,29;25,93;26,87
\popi{10T_6}{s};19,09;17,84;21,84;25,28;14,01;15,36;16,66;17,82;18,94;19,94;20,91;21,77;22,79;23,60;24,53;25,69;25,93;26,81
\popi{10T_7}{s};19,15;17,94;21,96;25,32;14,01;15,54;16,61;17,88;18,92;19,92;20,88;21,70;22,66;23,52;24,46;24,95;25,76;26,72
\popi{10T_8}{s};19,14;17,93;21,89;25,35;14,11;15,57;16,60;17,77;18,91;19,97;20,99;21,75;22,62;23,64;24,41;25,18;26,02;26,50
\popi{10T_9}{s};19,10;17,87;22,04;25,21;14,05;15,49;16,69;17,85;18,91;19,88;20,81;21,74;22,66;23,70;24,24;25,07;25,94;26,94
\popi{10T_{10}}{s};19,06;17,88;21,92;25,31;14,05;15,50;16,58;17,99;18,81;19,96;20,84;21,66;22,72;23,43;24,50;25,18;25,96;26,67
\popi{10T}{s};19,10;17,91;21,93;25,28;14,07;15,48;16,66;17,86;18,94;19,94;20,90;21,72;22,72;23,56;24,39;25,20;25,94;26,73
\popi{\sigma_A10T}{s};0,01;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,03;0,06;0,02;0,05
\popi{T}{s};0,637;0,895;1,097;1,264;1,407;1,548;1,666;1,786;1,894;1,994;2,090;2,172;2,272;2,356;2,439;2,520;2,594;2,673
\popi{\sigma_A T}{s};0,000;0,001;0,001;0,001;0,001;0,002;0,002;0,002;0,002;0,001;0,002;0,002;0,002;0,002;0,003;0,006;0,002;0,005
\popi{\sigma T}{s};0,030;0,030;0,030;0,030;0,030;0,030;0,030;0,030;0,030;0,030;0,030;0,030;0,030;0,030;0,030;0,031;0,030;0,030
