n;1;2;3;4;6;8;10;20;30
\popi{nT_1}{s};2,06;4,25;6,60;8,69;12,89;17,28;21,62;43,17;64,61
\popi{nT_2}{s};2,17;4,29;6,40;8,60;12,82;17,18;21,60;43,02;64,66
\popi{nT_3}{s};2,14;4,23;6,51;8,62;13,10;17,26;21,56;42,89;64,78
\popi{nT_4}{s};2,15;4,37;6,28;8,60;12,89;17,37;21,56;43,00;64,79
\popi{nT_5}{s};2,04;4,24;6,37;8,65;12,97;17,25;21,52;43,22;64,55
\popi{nT_6}{s};2,07;4,24;6,47;8,47;13,04;17,32;21,58;43,14;64,68
\popi{nT_7}{s};2,26;4,25;6,50;8,65;12,88;17,27;21,65;43,06;64,65
\popi{nT_8}{s};2,19;4,25;6,38;8,64;12,88;17,18;21,56;43,14;64,71
\popi{nT_9}{s};2,15;4,13;6,49;8,62;13,03;17,24;21,60;43,21;64,62
\popi{n{10}_1}{s};2,10;4,30;6,43;8,50;12,59;17,33;21,51;43,19;64,70
\popi{nT}{s};2,133;4,255;6,443;8,604;12,909;17,268;21,576;43,104;64,675
\popi{\sigma nT}{s};0,021;0,019;0,029;0,022;0,045;0,019;0,014;0,034;0,024
\popi{T}{s};2,133;2,128;2,148;2,151;2,152;2,159;2,158;2,155;2,1558
\popi{\sigma T}{s};0,021;0,010;0,010;0,005;0,008;0,002;0,001;0,002;0,0008
relativní nejistota;1,0%;0,5%;0,4%;0,3%;0,4%;0,1%;0,06 %;0,08 %;0,04 %
