\popi{\phi}{\dg};330;300;270;240;210;180;150;120;90;60
\popi{\phi}{rad};5,760;5,236;4,712;4,189;3,665;3,142;2,618;2,094;1,571;1,047
\popi{\phi}{rad};2,319;1,970;1,696;1,459;1,246;1,047;0,860;0,680;0,505;0,335
\popi{\sigma(\Phi)}{rad};0,007;0,005;0,004;0,004;0,003;0,003;0,003;0,003;0,003;0,003
1;2,000;1,600;1,466;1,234;1,034;0,966;0,799;0,800;0,866;0,766
2;1,800;1,534;1,366;1,234;1,066;0,899;0,799;0,766;0,934;0,366
2;2,000;1,600;1,433;1,333;1,066;0,967;0,800;0,467;0,733;0,733
4;2,166;1,699;1,366;1,233;1,033;0,933;0,833;0,733;0,533;0,367
5;1,867;1,533;1,466;1,300;1,066;0,966;0,834;0,699;0,433;0,633
6;2,133;1,667;1,366;1,267;1,033;0,934;0,834;0,734;0,700;0,799
7;2,133;1,599;1,400;1,300;1,033;0,900;0,799;0,733;0,700;0,867
8;1,800;1,633;1,400;1,267;1,033;0,933;0,800;0,733;0,867;0,700
9;1,800;1,600;1,467;1,199;1,067;0,934;0,834;0,700;0,333;0,767
10;1,933;1,533;1,466;1,266;1,033;0,933;0,799;0,733;0,400;0,367
\popi{t}{s};1,963;1,600;1,420;1,263;1,046;0,937;0,813;0,710;0,650;0,637
\popi{\sigma_A(t)}{s};0,046;0,018;0,014;0,013;0,005;0,008;0,006;0,029;0,067;0,062
\popi{\sigma(t)}{s};0,050;0,026;0,024;0,023;0,020;0,021;0,020;0,034;0,070;0,065
C\_{vz};1,120;0,743;0,585;0,464;0,318;0,255;0,192;0,146;0,123;0,118
\sigma(C\_{vz});0,059;0,026;0,021;0,018;0,013;0,012;0,010;0,015;0,027;0,027
