\popi{x}{m};\popi{\phi}{rad};\popi{\sigma\phi}{rad};1;2;3;4;5;6;7;8;9;10;\popi{10T}{s};\popi{\sigma 10T}{s};\popi{T}{s};\popi{\sigma T}{s}
0,02;0,017;0,002;21,58;21,54;21,69;21,44;21,52;21,46;21,39;21,54;21,59;21,64;21,54;0,03;2,154;0,003
0,04;0,034;0,002;21,67;21,70;21,61;21,41;21,59;21,56;21,54;21,64;21,61;21,55;21,59;0,03;2,159;0,003
0,06;0,052;0,002;21,76;21,57;21,73;21,76;21,60;21,66;21,70;21,61;21,71;21,51;21,66;0,03;2,166;0,003
0,08;0,069;0,002;21,71;21,66;21,54;21,52;21,57;21,56;21,71;21,59;21,68;21,60;21,61;0,02;2,161;0,002
0,10;0,086;0,002;21,52;21,62;21,54;21,49;21,52;21,51;21,55;21,44;21,64;21,49;21,53;0,02;2,153;0,002
0,12;0,104;0,002;21,64;21,67;21,64;21,57;21,52;21,51;21,55;21,57;21,62;21,62;21,59;0,02;2,159;0,002
0,14;0,121;0,002;21,60;21,54;21,63;21,69;21,60;21,59;21,65;21,72;21,62;21,46;21,61;0,02;2,161;0,002
0,16;0,138;0,002;21,61;21,64;21,64;21,65;21,59;21,69;21,67;21,61;21,66;21,66;21,64;0,01;2,164;0,001
0,18;0,156;0,002;21,68;21,64;21,67;21,67;21,68;21,61;21,65;21,62;21,65;21,71;21,66;0,01;2,166;0,001
0,20;0,173;0,002;21,74;21,62;21,56;21,56;21,57;21,55;21,57;21,64;21,57;21,67;21,61;0,02;2,161;0,002
0,22;0,191;0,002;21,67;21,73;21,74;21,62;21,65;21,64;21,61;21,62;21,56;21,61;21,65;0,02;2,165;0,002
0,24;0,208;0,002;21,67;21,65;21,64;21,70;21,75;21,64;21,66;21,74;21,75;21,62;21,68;0,02;2,168;0,002
0,26;0,226;0,002;21,71;21,62;21,76;21,82;21,57;21,75;21,64;21,69;21,69;21,71;21,70;0,02;2,170;0,002
0,28;0,244;0,002;21,64;21,68;21,62;21,72;21,72;21,68;21,75;21,64;21,61;21,75;21,68;0,02;2,168;0,002
0,30;0,261;0,002;21,63;21,62;21,60;21,66;21,69;21,65;21,64;21,64;21,69;21,67;21,65;0,01;2,165;0,001
0,32;0,279;0,002;21,78;21,75;21,74;21,84;21,78;21,71;21,74;21,76;21,77;21,72;21,76;0,01;2,176;0,001
0,34;0,297;0,002;21,73;21,76;21,72;21,67;21,70;21,77;21,72;21,74;21,83;21,76;21,74;0,01;2,174;0,001
0,36;0,315;0,002;21,74;21,72;21,67;21,66;21,66;21,71;21,79;21,77;21,75;21,53;21,70;0,02;2,170;0,002
0,38;0,333;0,002;21,70;21,66;21,69;21,78;21,76;21,76;21,70;21,74;21,81;21,66;21,73;0,02;2,173;0,002
0,40;0,352;0,002;21,69;21,67;21,70;21,64;21,86;21,69;21,72;21,72;21,76;21,78;21,72;0,02;2,172;0,002
0,42;0,370;0,002;21,70;21,71;21,80;21,69;21,82;21,77;21,79;21,74;21,79;21,71;21,75;0,02;2,175;0,002
0,44;0,389;0,002;21,73;21,77;21,77;21,79;21,71;21,77;21,75;21,84;21,82;21,82;21,78;0,01;2,178;0,001
0,46;0,407;0,002;21,88;21,72;21,82;21,76;21,84;21,81;21,81;21,80;21,80;21,75;21,80;0,01;2,180;0,001
0,48;0,426;0,002;21,76;21,77;21,77;21,75;21,78;21,89;21,86;21,84;21,75;21,78;21,80;0,02;2,180;0,002
0,50;0,445;0,002;21,79;21,79;21,76;21,71;21,87;21,72;21,85;21,75;21,76;21,77;21,78;0,02;2,178;0,002
0,52;0,464;0,002;21,77;21,74;21,77;21,82;21,81;21,88;21,80;21,81;21,74;21,85;21,80;0,01;2,180;0,001
0,54;0,484;0,002;21,86;21,80;21,84;21,84;21,85;21,85;21,77;21,90;21,77;21,76;21,82;0,01;2,182;0,001
0,56;0,503;0,002;21,81;21,86;21,72;21,85;21,75;21,75;21,84;21,71;21,89;21,84;21,80;0,02;2,180;0,002
0,58;0,523;0,002;21,83;21,75;21,80;21,67;21,79;21,84;21,79;21,96;21,86;21,95;21,82;0,03;2,182;0,003
0,60;0,543;0,003;21,81;21,82;21,75;21,79;21,94;21,81;21,85;21,82;21,85;21,85;21,83;0,02;2,183;0,002
