\popi{\phi}{\dg};\popi{I}{1};\popi{\phi}{\dg};\popi{I}{1};\popi{\phi}{\dg};\popi{I}{1};\popi{\phi}{\dg};\popi{I}{1}
0;520;90;18;180;511;270;17
5;525;95;17;185;521;275;17
10;516;100;17;190;505;280;17
15;514;105;20;195;499;285;21
20;524;110;34;200;497;290;38
25;499;115;58;205;488;295;62
30;475;120;92;210;459;300;97
35;426;125;134;215;416;305;130
40;386;130;172;220;374;310;175
45;336;135;211;225;331;315;218
50;290;140;268;230;280;320;266
55;240;145;319;235;230;325;308
60;194;150;371;240;184;330;359
65;146;155;412;245;141;335;407
70;108;160;443;250;98;340;440
75;71;165;481;255;66;345;469
80;42;170;503;260;39;350;500
85;23;175;518;265;21;355;519
