\multicolumn{6}{|c|}{lahev};;;;;;;;
\popi{d}{cm};\popi{y_1}{mm};\popi{y_2}{cm};$Z_1$;;$Z2$;;\popi{f}{cm};
20;13;3;3,6;0,3;0,8;1,2;7;3
20;26;16;7,2;0,3;4,4;0,5;7;2
20;19;8;5,3;0,3;2,2;0,7;7;2
30;20;3;5,5;0,3;0,8;1,9;6;3
20;28;22;7,8;0,3;6,1;0,4;12;4
\multicolumn{6}{|c|}{sklenice};;;;;;;;
\popi{d}{cm};\popi{y_1}{mm};\popi{y_2}{cm};$Z_1$;;$Z2$;;\popi{f}{cm};
20;17;4;4,7;0,3;1,1;1,2;6;2
20;30;18;8,3;0,3;5,0;0,5;6;1
20;22;10;6,1;0,3;2,8;0,6;6;1
20;33;23;9,1;0,4;6,4;0,5;7;2
30;33;16;9,1;0,4;4,4;0,6;6;1
\multicolumn{6}{|c|}{lupa};;;;;;;;
\popi{d}{cm};\popi{y_1}{mm};\popi{y_2}{cm};$Z_1$;;$Z2$;;\popi{f}{cm};
30;10;5;2,8;0,3;1,4;0,6;22;10
30;11;8;3,0;0,3;2,2;0,4;36;21
30;14;9;3,9;0,3;2,5;0,4;22;8
30;15;10;4,2;0,3;2,8;0,4;22;8
30;17;15;4,7;0,3;4,2;0,3;54;44
30;19;17;5,3;0,3;4,7;0,3;54;44
40;22;17;6,1;0,3;4,7;0,4;29;10
40;26;20;7,2;0,3;5,5;0,4;24;7
50;28;24;7,8;0,3;6,6;0,4;45;20
100;38;20;10,5;0,4;5,5;0,6;20;3
