velièina;\popi{d_l}{cm};\popi{d_s}{cm};\popi{d_1}{cm};\popi{h_1}{mm};\popi{d_2}{cm};\popi{h_2}{mm};\popi{y}{mm}
1;7,25;6,16;2,99;2,90;2,84;4,10;3,90
2;7,23;6,05;3,05;2,95;2,91;3,10;3,30
3;7,50;5,86;3,18;2,20;2,84;4,50;3,45
4;7,14;6,09;3,06;2,70;2,85;3,60;3,70
5;7,31;6,03;3,12;2,60;3,01;3,00;3,90
6;7,19;6,02;3,15;2,50;3,01;3,40;3,30
7;7,16;6,07;3,12;2,40;3,06;3,00;3,60
8;7,31;5,99;3,09;2,00;3,05;2,90;3,85
9;7,29;6,01;3,10;2,60;3,01;3,10;3,50
10;7,28;6,08;3,03;2,35;3,00;3,60;3,60
prùmìr;7,27;6,04;3,09;2,5;2,96;3,4;3,61
$\sigma_A$;0,03;0,02;0,02;0,09;0,03;0,17;0,07
$\sigma$;0,03;0,03;0,02;0,1;0,03;0,2;0,09
