\multicolumn{3}{|c|}{lahev};;;;\multicolumn{3}{|c|}{sklenice};;;;\multicolumn{6}{|c|}{lupa};;;;;;;
\popi{a‘}{cm};\popi{y‘}{mm};\popi{f}{cm};;\popi{a‘}{cm};\popi{y‘}{mm};\popi{f}{cm};;\popi{a‘}{cm};\popi{y‘}{mm};\popi{f}{cm};;\popi{a‘}{cm};\popi{y‘}{mm};\popi{f}{cm};
30;12;7,8;0,4;30;17;6,3;0,3;80;10;21;2;50;5;21;5
50;26;6,5;0,3;50;30;6,0;0,2;90;11;22;2;60;8;19;2
40;19;7,0;0,3;40;22;6,5;0,3;100;14;20;1;70;9;20;3
40;20;6,7;0,3;60;33;6,5;0,2;110;15;21;1;80;10;21;2
60;28;7,3;0,3;60;33;6,5;0,2;120;17;21;1;90;15;17;1
10;3;7;4;10;4;8;3;140;19;22;1;110;17;19;1
30;16;6,2;0,5;30;18;6,0;0,4;160;22;23;1;120;17;21;1
20;8;7;1;20;10;6,9;0,9;180;26;21,9;0,9;140;20;21;1
20;3;13;11;40;23;6,2;0,3;200;28;22,8;0,9;150;24;20;1
40;22;6,2;0,3;40;16;8,5;0,8;150;38;13,0;0,4;150;20;23;2
