;;$d_1$ pomalu;;$d_2$ pomalu;;$d_1$ rychle;;$d_2$ rychle;
èervený laser;Øád minima;\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm}
;1;105,19;121,23;106,32;120,17;105,12;121,28;106,28;120,23
;2;97,5;128,7;99,78;126,54;97,46;128,82;99,7;126,51
;3;90,14;139,91;93,47;133,13;90,52;136,48;93,42;132,85
;Øád maxima;\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm}
;0;113,21;-;113,18;-;113,26;-;113,22;-
;1;102,05;124,42;103,57;122,69;101,89;124,39;103,65;122,8
;2;94,2;131,89;96,81;129,29;94,23;132,05;97,07;129,38
;3;88,87;136,62;90,61;136,1;-;-;90,84;135,96
Zelený laser;Øád minima;\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm}
;1;110,41;131,07;112,22;138,37;110,83;130,1;111,89;-
;2;100,19;138,87;102,66;-;100,84;139,79;102,44;-
;3;-;-;94,42;-;91,68;-;93,82;-
;Øád maxima;\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm};\popi{x}{mm}
;0;120,41;-;121,23;-;120,52;-;120,87;-
;1;106,12;133,59;108,16;141,78;106,94;132,73;107,7;-
;2;-;-;99,26;-;97,07;144,22;99,33;-
;3;-;-;92,66;-;89,65;-;89,99;-
