\popi{\alpha}{\dg};20;30;40;50;60;70;80
\sin{\alpha};0,34;0,50;0,64;0,77;0,87;0,94;0,98
\sigma(\sin{\alpha});0,02;0,02;0,01;0,01;0,01;0,01;0,01
\multicolumn{|c|}{8}{bez pøidané soli};;;;;;;
1;10,0;8,0;5,5;4,0;3,5;3,0;2,5
2;10,0;6,5;7,0;4,5;3,5;2,5;1,5
3;11,0;7,0;6,0;4,5;4,0;3,0;2,0
4;9,0;7,5;6,5;4,5;3,0;2,5;2,0
5;9,5;7,5;6,0;4,5;4,0;3,0;2,5
6;9,0;7,0;6,0;5,0;5,0;3,5;2,0
7;10,0;7,0;5,5;4,5;4,0;2,5;2,0
8;10,0;6,0;5,5;4,0;3,0;2,0;1,0
9;10,5;7,0;5,5;5,5;4,0;3,0;2,0
10;10,0;7,0;5,5;4,0;5,0;3,5;2,0
\popi{\beta}{\dg};9,9;7,1;5,9;4,5;3,9;2,9;2,0
\popi{\sigma(\beta)}{\dg};1,1;0,9;0,8;0,7;0,7;0,6;0,5
\sin{\beta};0,3;0,39;0,45;0,55;0,61;0,72;0,84
\sigma(\sin{\beta});0,1;0,09;0,09;0,09;0,08;0,07;0,05
\multicolumn{|c|}{8}{pøidáno 20 g soli};;;;;;;
1;13,0;7,0;5,5;5,0;4,0;3,0;2,0
2;13,0;6,5;6,0;4,5;4,0;3,0;2,5
3;14,0;8,0;7,0;6,0;4,0;;
4;8,0;7,0;6,5;5,5;4,0;3,0;
5;13,0;7,5;5,5;4,5;4,0;3,0;
6;14,0;7,0;6,0;5,0;4,5;3,0;2,5
7;10,0;7,5;6,0;4,5;4,0;3,5;1,5
8;13,0;7,0;6,0;5,0;4,0;2,5;
9;13,5;7,0;6,0;5,0;4,0;2,5;1,5
10;8,5;7,0;6,0;4,5;4,0;2,0;1,0
\popi{\beta}{\dg};12;7,2;6,1;5,0;4,1;2,8;1,8
\popi{\sigma(\beta)}{\dg};1;0,9;0,8;0,7;0,6;0,6;0,6
\sin{\beta};0,2;0,4;0,4;0,5;0,6;0,7;0,9
\sigma(\sin{\beta});0,1;0,1;0,1;0,1;0,1;0,1;0,2
\multicolumn{|c|}{8}{pøidáno 40 g soli};;;;;;;
1;12,0;7,5;5,0;4,0;4,0;3,0;2,5
2;9,0;8,0;5,0;4,0;4,0;3,0;
3;13,0;7,5;6,0;5,0;4,0;3,0;2,5
4;10,0;8,0;5,5;5,0;4,0;3,0;2,5
5;10,0;8,0;6,0;5,5;4,5;3,5;
6;10,0;7,5;5,0;4,5;3,5;3,0;2,5
7;9,5;7,5;6,0;4,5;3,5;3,0;
8;9,0;8,0;6,0;5,0;4,0;3,0;2,0
9;11,0;8,0;5,0;4,0;3,0;2,0;
10;11,0;7,5;5,5;4,5;3,5;3,0;2,5
\popi{\beta}{\dg};10,5;7,8;5,5;4,6;3,8;3,0;2,4
\popi{\sigma(\beta)}{\dg};1,2;0,9;0,7;0,7;0,6;0,6;0,6
\sin{\beta};0,3;0,4;0,5;0,5;0,6;0,7;0,8
\sigma(\sin{\beta});0,1;0,1;0,1;0,1;0,1;0,1;0,2
